rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity,album_cover_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
162,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,70,-1,16,2269511,k-pop,80,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,0.629,0.733,7.0,-5.445,1.0,0.0419,0.0025,0.0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241.0,4.0
163,spotify:track:6PGoSes0D9eUDeeAafB2As,"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.,Aftermath,5,152,158,2264262,"conscious hip hop,hip hop,rap,west coast rap",86,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,0.8,0.585,10.0,-7.343,1.0,0.0924,0.264,0.0,0.153,0.779,126.058,audio_features,6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,213400.0,4.0
164,spotify:track:4dtIxANFBU6CfhI9c2hf2g,Dylan Gossett,Coal,Dylan Gossett,164,-1,1,2247492,,62,https://i.scdn.co/image/ab67616d0000b27361a8fcc1b2d14a93bd8003a9,0.522,0.223,1.0,-9.561,0.0,0.0345,0.753,0.0,0.165,0.439,97.045,audio_features,4dtIxANFBU6CfhI9c2hf2g,https://api.spotify.com/v1/tracks/4dtIxANFBU6CfhI9c2hf2g,https://api.spotify.com/v1/audio-analysis/4dtIxANFBU6CfhI9c2hf2g,194440.0,4.0
165,spotify:track:7aRCf5cLOFN1U7kvtChY1G,Drake,Search & Rescue,OVO/Republic Records,1,130,30,2242103,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96,0.817,0.44,10.0,-8.482,0.0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,audio_features,7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113.0,4.0
166,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,134,135,6,2235623,modern folk rock,66,https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a,0.555,0.216,3.0,-11.661,1.0,0.0721,0.557,0.00416,0.109,0.504,79.109,audio_features,6me7F0aaZjwDo6RJ5MrfBD,https://api.spotify.com/v1/tracks/6me7F0aaZjwDo6RJ5MrfBD,https://api.spotify.com/v1/audio-analysis/6me7F0aaZjwDo6RJ5MrfBD,87000.0,3.0
167,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,J. Cole,Work Out,Roc Nation LLC,101,155,64,2232770,"conscious hip hop,hip hop,north carolina hip hop,rap",84,https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc,0.831,0.427,2.0,-6.903,1.0,0.106,0.0531,0.0,0.307,0.216,93.004,audio_features,2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/tracks/2wAJTrFhCnQyNSD3oUgTZO,https://api.spotify.com/v1/audio-analysis/2wAJTrFhCnQyNSD3oUgTZO,235320.0,4.0
168,spotify:track:6ZprqcYFC6D9eIZaCoqrSn,"Drake, Bad Bunny",Gently (feat. Bad Bunny),OVO/Republic,9,66,4,2221339,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,0.868,0.407,10.0,-7.735,1.0,0.295,0.0479,0.000111,0.139,0.255,107.524,audio_features,6ZprqcYFC6D9eIZaCoqrSn,https://api.spotify.com/v1/tracks/6ZprqcYFC6D9eIZaCoqrSn,https://api.spotify.com/v1/audio-analysis/6ZprqcYFC6D9eIZaCoqrSn,133694.0,4.0
169,spotify:track:1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,25,146,59,2215571,"afrobeats,nigerian pop",76,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7,0.799,0.802,11.0,-5.196,1.0,0.0371,0.429,0.00128,0.171,0.811,107.008,audio_features,1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/tracks/1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/audio-analysis/1s7oOCT8vauUh01PbJD6ps,239318.0,4.0
170,spotify:track:3HOKxuTDmNVmIlCIpBiD8m,"Peso Pluma, Jasiel Nuñez",LAGUNAS,Double P Records,69,134,19,2208665,"corridos tumbados,sad sierreno",90,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,0.77,0.622,11.0,-10.621,1.0,0.026,0.328,0.00603,0.149,0.792,115.952,audio_features,3HOKxuTDmNVmIlCIpBiD8m,https://api.spotify.com/v1/tracks/3HOKxuTDmNVmIlCIpBiD8m,https://api.spotify.com/v1/audio-analysis/3HOKxuTDmNVmIlCIpBiD8m,231247.0,3.0
171,spotify:track:34sOdxWu9FljH84UXdRwu1,Olivia Rodrigo,all-american bitch,Olivia Rodrigo PS,5,113,8,2201340,pop,87,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,0.43,0.692,6.0,-4.234,1.0,0.0429,0.254,4.17e-06,0.148,0.401,156.261,audio_features,34sOdxWu9FljH84UXdRwu1,https://api.spotify.com/v1/tracks/34sOdxWu9FljH84UXdRwu1,https://api.spotify.com/v1/audio-analysis/34sOdxWu9FljH84UXdRwu1,165834.0,4.0
